Easting,Northing,Elevation
525632.5147542600,5.253181454798E+06,66.09694647
525637.0193964310,5.253184679527E+06,65.32584864
525641.5240386020,5.253187904257E+06,64.65393521
525646.0286807730,5.253191128986E+06,64.0809944
525650.5333229440,5.253194353716E+06,63.60684562
525655.0379651160,5.253197578445E+06,63.23133944
525659.5426072870,5.253200803175E+06,62.9543575
525664.0472494580,5.253204027904E+06,62.77581249
525668.5518916290,5.253207252633E+06,62.69564816
525673.0565338000,5.253210477363E+06,62.71383922
525677.5611759710,5.253213702092E+06,62.83039141
525632.5147542600,5.253180400421E+06,66.22962706
525637.0193964310,5.253183617048E+06,65.39986959
525641.5240386020,5.253186833676E+06,64.67784828
525646.0286807730,5.253190050303E+06,64.06329489
525650.5333229440,5.253193266931E+06,63.55598109
525655.0379651150,5.253196483558E+06,63.1557184
525659.5426072860,5.253199700185E+06,62.8623581
525664.0472494570,5.253202916813E+06,62.67579122
525668.5518916280,5.253206133440E+06,62.59594842
525673.0565338000,5.253209350067E+06,62.62280006
525677.5611759710,5.253212566695E+06,62.7563561
525632.5147542600,5.253179356588E+06,66.1664952
525637.0193964310,5.253182578752E+06,65.33645594
525641.5240386020,5.253185800916E+06,64.61389283
525646.0286807730,5.253189023080E+06,63.99853901
525650.5333229440,5.253192245243E+06,63.49016723
525655.0379651150,5.253195467407E+06,63.08858975
525659.5426072860,5.253198689571E+06,62.79365826
525664.0472494570,5.253201911735E+06,62.60526383
525668.5518916290,5.253205133899E+06,62.5233369
525673.0565338000,5.253208356063E+06,62.5478472
525677.5611759710,5.253211578227E+06,62.67880379
525632.5147542600,5.253180909338E+06,64.32786368
525637.0193964310,5.253184130139E+06,63.25330112
525641.5240386020,5.253187350939E+06,62.34485572
525646.0286807730,5.253190571740E+06,61.60173543
525650.5333229440,5.253193792540E+06,61.02329234
525655.0379651150,5.253197013340E+06,60.60902215
525659.5426072860,5.253200234141E+06,60.35856365
525664.0472494570,5.253203454941E+06,60.27169848
525668.5518916290,5.253206675742E+06,60.34835092
525673.0565338000,5.253209896542E+06,60.58858778
525677.5611759710,5.253213117342E+06,60.99261852
525632.5147542600,5.253180149017E+06,64.39287928
525637.0193964310,5.253183374196E+06,63.2383569
525641.5240386030,5.253186599375E+06,62.2639552
525646.0286807740,5.253189824553E+06,61.46868096
525650.5333229450,5.253193049732E+06,60.85172355
525655.0379651160,5.253196274911E+06,60.41245411
525659.5426072870,5.253199500089E+06,60.15042489
525664.0472494580,5.253202725268E+06,60.06536879
525668.5518916290,5.253205950447E+06,60.15719912
525673.0565338000,5.253209175625E+06,60.42600948
525677.5611759710,5.253212400804E+06,60.87207388
525632.5147542600,5.253181539339E+06,64.24445397
525637.0193964310,5.253184762262E+06,63.19738348
525641.5240386020,5.253187985186E+06,62.31419567
525646.0286807730,5.253191208110E+06,61.5941402
525650.5333229440,5.253194431034E+06,61.03660533
525655.0379651150,5.253197653957E+06,60.64111737
